thread_id	post_id	ade_cui	cui_text	linked_drug
14554	14554_001	0	0	0
14554	14554_002	0	0	0
14554	14554_003	0	0	0
14626	14626_001	0	0	0
14626	14626_002	0	0	0
14626	14626_003	0	0	0
14629	14629_001	0	0	0
14631	14631_001	0	0	0
14621	14621_001	0	0	0
14621	14621_002	0	0	0
14613	14613_001	0	0	0
14618	14618_001	0	0	0
14618	14618_002	0	0	0
14605	14605_001	0	0	0
14612	14612_001	0	0	0
14605	14605_002	0	0	0
14612	14612_002	0	0	0
14605	14605_003	0	0	0
14604	14604_001	0	0	0
14461	14461_001	0	0	0
14606	14606_001	0	0	0
14461	14461_002	0	0	0
14461	14461_003	0	0	0
14606	14606_002	0	0	0
14606	14606_003	0	0	0
14606	14606_004	0	0	0
14606	14606_005	0	0	0
14601	14601_001	0	0	0
14597	14597_001	0	0	0
14593	14593_001	0	0	0
14593	14593_002	0	0	0
14603	14603_001	0	0	0
14603	14603_002	5935008	Oral contraception	sunitinib
14599	14599_001	0	0	0
14599	14599_002	0	0	0
14587	14587_001	0	0	0
14476	14476_001	0	0	0
14589	14589_001	0	0	0
14476	14476_002	0	0	0
14600	14600_001	0	0	0
14589	14589_002	0	0	0
14600	14600_002	0	0	0
14589	14589_003	0	0	0
14600	14600_003	0	0	0
14592	14592_001	0	0	0
14591	14591_001	0	0	0
14595	14595_001	0	0	0
14592	14592_002	0	0	0
14591	14591_002	0	0	0
14595	14595_002	0	0	0
14592	14592_003	0	0	0
14595	14595_003	0	0	0
14591	14591_003	0	0	0
14592	14592_004	0	0	0
14595	14595_004	0	0	0
14592	14592_005	0	0	0
14592	14592_006	0	0	0
14584	14584_001	0	0	0
14584	14584_002	0	0	0
14584	14584_003	0	0	0
14594	14594_001	0	0	0
14594	14594_002	0	0	0
14594	14594_003	0	0	0
14594	14594_004	0	0	0
14594	14594_005	0	0	0
14594	14594_006	0	0	0
14594	14594_007	0	0	0
14594	14594_008	0	0	0
14594	14594_009	0	0	0
14594	14594_010	0	0	0
14577	14577_001	0	0	0
14576	14576_001	0	0	0
14482	14482_001	0	0	0
14576	14576_002	0	0	0
14573	14573_001	8708008	Sharp pain	imatinib
14583	14583_001	0	0	0
14573	14573_002	0	0	0
14583	14583_002	0	0	0
14573	14573_003	0	0	0
14588	14588_001	0	0	0
14583	14583_003	0	0	0
14573	14573_004	0	0	0
14588	14588_002	0	0	0
14583	14583_004	0	0	0
14573	14573_005	75705005	Red eye	imatinib
14573	14573_005	8708008	Sharp pain	imatinib
14573	14573_005	246636008	Hazy vision	imatinib
14575	14575_001	0	0	0
14580	14580_001	0	0	0
14588	14588_003	0	0	0
14585	14585_001	0	0	0
14580	14580_002	0	0	0
14586	14586_001	0	0	0
14585	14585_002	0	0	0
14580	14580_003	0	0	0
14588	14588_004	0	0	0
14586	14586_002	0	0	0
14585	14585_003	0	0	0
14586	14586_003	0	0	0
14586	14586_004	60728008	Swollen abdomen	
14581	14581_001	0	0	0
14572	14572_001	0	0	0
14581	14581_002	0	0	0
14572	14572_002	0	0	0
14569	14569_001	0	0	0
14582	14582_001	0	0	0
14569	14569_002	0	0	0
14582	14582_002	0	0	0
14569	14569_003	0	0	0
14582	14582_003	0	0	0
14569	14569_004	0	0	0
14582	14582_004	35489007	Depressive disorder	imatinib
14569	14569_005	0	0	0
14582	14582_005	0	0	0
14569	14569_006	0	0	0
14582	14582_006	0	0	0
14582	14582_007	0	0	0
14582	14582_008	0	0	0
14582	14582_009	0	0	0
14582	14582_010	0	0	0
14564	14564_001	0	0	0
14582	14582_011	0	0	0
14566	14566_001	0	0	0
14564	14564_002	0	0	0
14582	14582_012	0	0	0
14566	14566_002	0	0	0
14570	14570_001	0	0	0
14566	14566_003	0	0	0
14568	14568_001	0	0	0
14560	14560_001	0	0	0
14562	14562_001	0	0	0
14511	14511_001	0	0	0
14568	14568_002	0	0	0
14560	14560_002	0	0	0
14511	14511_002	0	0	0
14567	14567_001	0	0	0
14565	14565_001	0	0	0
14565	14565_002	0	0	0
14558	14558_001	0	0	0
14559	14559_001	0	0	0
14501	14501_001	0	0	0
14515	14515_001	0	0	0
14559	14559_002	0	0	0
14555	14555_001	0	0	0
14557	14557_001	0	0	0
14557	14557_002	0	0	0
14557	14557_003	0	0	0
14555	14555_002	0	0	0
14525	14525_001	0	0	0
14557	14557_004	0	0	0
14555	14555_003	0	0	0
14557	14557_005	0	0	0
14525	14525_002	0	0	0
14555	14555_004	0	0	0
14555	14555_005	0	0	0
14553	14553_001	0	0	0
14553	14553_002	0	0	0
14553	14553_003	0	0	0
14550	14550_001	0	0	0
14546	14546_001	0	0	0
14548	14548_001	0	0	0
14546	14546_002	0	0	0
14543	14543_001	0	0	0
14546	14546_003	0	0	0
14539	14539_001	0	0	0
14548	14548_002	0	0	0
14537	14537_001	0	0	0
14543	14543_002	0	0	0
14548	14548_003	0	0	0
14537	14537_002	0	0	0
14539	14539_002	55300003	Cramp	imatinib
14529	14529_001	0	0	0
14551	14551_001	0	0	0
14551	14551_002	0	0	0
14547	14547_001	0	0	0
14544	14544_001	0	0	0
14540	14540_001	0	0	0
14536	14536_001	0	0	0
14544	14544_002	0	0	0
14545	14545_001	0	0	0
14545	14545_002	0	0	0
14527	14527_001	0	0	0
14523	14523_001	48285002	Swearing	sunitinib
14523	14523_001	271807003	Eruption	sunitinib
14545	14545_003	0	0	0
14527	14527_002	0	0	0
14523	14523_002	0	0	0
14545	14545_004	0	0	0
14527	14527_003	0	0	0
14523	14523_003	0	0	0
14527	14527_004	0	0	0
14523	14523_004	43339004	Hypokalemia	sunitinib
14523	14523_004	45007003	Low blood pressure	sunitinib
14523	14523_004	271807003	Eruption	sunitinib
14526	14526_001	84229001	Fatigue	imatinib
14526	14526_002	0	0	0
14526	14526_003	0	0	0
14526	14526_004	0	0	0
14526	14526_005	0	0	0
14526	14526_006	0	0	0
14526	14526_007	0	0	0
14526	14526_008	0	0	0
14526	14526_009	0	0	0
14526	14526_010	193462001	Insomnia	imatinib
14526	14526_010	49563000	Periorbital edema	imatinib
14526	14526_010	248268002	Tires quickly	imatinib
14526	14526_010	224960004	Tired	imatinib
14526	14526_011	49563000	Periorbital edema	imatinib
14526	14526_012	247442005	Broken skin	imatinib
14526	14526_012	267038008	Edema	imatinib
14503	14503_001	0	0	0
14503	14503_002	0	0	0
14528	14528_001	0	0	0
14513	14513_001	0	0	0
14517	14517_001	0	0	0
14528	14528_002	0	0	0
14517	14517_002	0	0	0
14517	14517_003	0	0	0
14517	14517_004	0	0	0
14506	14506_001	0	0	0
14509	14509_001	22253000	Pain	
14509	14509_002	0	0	0
14506	14506_002	0	0	0
14509	14509_003	0	0	0
14509	14509_004	0	0	0
14516	14516_001	0	0	0
14505	14505_001	0	0	0
14504	14504_001	0	0	0
14488	14488_001	0	0	0
14490	14490_001	0	0	0
14514	14514_001	0	0	0
14488	14488_002	0	0	0
14496	14496_001	0	0	0
14514	14514_002	422587007	Nausea	imatinib
14488	14488_003	0	0	0
14496	14496_002	0	0	0
14490	14490_002	0	0	0
14514	14514_003	0	0	0
14488	14488_004	0	0	0
14493	14493_001	0	0	0
14490	14490_003	0	0	0
14514	14514_004	0	0	0
14496	14496_003	0	0	0
14490	14490_004	0	0	0
14493	14493_002	0	0	0
14490	14490_005	0	0	0
14493	14493_003	0	0	0
14493	14493_004	0	0	0
14493	14493_005	0	0	0
14493	14493_006	0	0	0
14489	14489_001	0	0	0
14489	14489_002	0	0	0
14469	14469_001	271807003	Eruption	imatinib
14466	14466_001	0	0	0
14414	14414_001	82272006	Common cold	imatinib
14414	14414_002	55300003	Cramp	imatinib
14414	14414_002	45177002	Swelling of structure of eye	imatinib
14414	14414_002	25416002	Peripheral neuralgia	imatinib
14414	14414_002	416377005	Port-wine stain of skin	imatinib
14414	14414_003	0	0	0
14414	14414_004	0	0	0
14462	14462_001	0	0	0
14447	14447_001	0	0	0
14446	14446_001	0	0	0
14464	14464_001	0	0	0
14462	14462_002	0	0	0
14447	14447_002	0	0	0
14446	14446_002	0	0	0
14462	14462_003	0	0	0
14468	14468_001	0	0	0
14456	14456_001	0	0	0
14468	14468_002	0	0	0
14456	14456_002	0	0	0
14468	14468_003	0	0	0
14456	14456_003	0	0	0
14468	14468_004	0	0	0
14468	14468_005	84229001	Fatigue	imatinib
14468	14468_005	162397003	Pain in throat	imatinib
14468	14468_006	0	0	0
14468	14468_007	0	0	0
14458	14458_001	0	0	0
14458	14458_002	0	0	0
14458	14458_003	0	0	0
14429	14429_001	0	0	0
14417	14417_001	55300003	Cramp	imatinib
14417	14417_002	0	0	0
14417	14417_003	0	0	0
14431	14431_001	0	0	0
14428	14428_001	0	0	0
14428	14428_002	0	0	0
14428	14428_003	0	0	0
14428	14428_004	0	0	0
14442	14442_001	0	0	0
14442	14442_002	0	0	0
14429	14429_002	0	0	0
14417	14417_004	0	0	0
14428	14428_005	0	0	0
14428	14428_006	0	0	0
14417	14417_005	0	0	0
14417	14417_006	0	0	0
14423	14423_001	449918009	Cramp in lower leg	imatinib
14423	14423_001	62315008	Diarrhea	imatinib
14423	14423_002	0	0	0
14423	14423_003	0	0	0
14403	14403_001	0	0	0
14423	14423_004	0	0	0
14423	14423_005	0	0	0
14423	14423_006	0	0	0
14418	14418_001	0	0	0
14422	14422_001	0	0	0
14418	14418_002	0	0	0
14417	14417_007	0	0	0
14417	14417_008	55300003	Cramp	imatinib
14417	14417_008	21522001	Abdominal pain	imatinib
14418	14418_003	0	0	0
14417	14417_009	0	0	0
14418	14418_004	0	0	0
14418	14418_005	0	0	0
14418	14418_006	0	0	0
14403	14403_002	0	0	0
14415	14415_001	0	0	0
14410	14410_001	0	0	0
14370	14370_001	0	0	0
14370	14370_002	0	0	0
14370	14370_003	0	0	0
14370	14370_004	0	0	0
14370	14370_005	0	0	0
14370	14370_006	0	0	0
14370	14370_007	0	0	0
14411	14411_001	0	0	0
14404	14404_001	0	0	0
14404	14404_002	0	0	0
14404	14404_003	0	0	0
14404	14404_004	0	0	0
14370	14370_008	0	0	0
14409	14409_001	0	0	0
14408	14408_001	0	0	0
14370	14370_009	0	0	0
14370	14370_010	0	0	0
14407	14407_001	0	0	0
14407	14407_002	0	0	0
14407	14407_003	0	0	0
14406	14406_001	0	0	0
14406	14406_002	0	0	0
14406	14406_003	0	0	0
14404	14404_005	0	0	0
14403	14403_003	0	0	0
14404	14404_006	0	0	0
14404	14404_007	0	0	0
14404	14404_008	0	0	0
14404	14404_009	0	0	0
14404	14404_010	0	0	0
14404	14404_011	0	0	0
14397	14397_001	0	0	0
14397	14397_002	0	0	0
14392	14392_001	0	0	0
14401	14401_001	0	0	0
14401	14401_002	0	0	0
14401	14401_003	0	0	0
14392	14392_002	0	0	0
14401	14401_004	0	0	0
14399	14399_001	0	0	0
14398	14398_001	0	0	0
14397	14397_003	0	0	0
14398	14398_002	0	0	0
14395	14395_001	0	0	0
14395	14395_002	0	0	0
14371	14371_001	0	0	0
14371	14371_002	0	0	0
14371	14371_003	0	0	0
14371	14371_004	0	0	0
14393	14393_001	0	0	0
14385	14385_001	0	0	0
14392	14392_008	0	0	0
14385	14385_002	0	0	0
14392	14392_009	0	0	0
14391	14391_001	0	0	0
14390	14390_001	0	0	0
14385	14385_003	0	0	0
14384	14384_001	0	0	0
14384	14384_002	62315008	Diarrhea	imatinib
14384	14384_003	0	0	0
14384	14384_004	0	0	0
14385	14385_004	0	0	0
14388	14388_001	0	0	0
14386	14386_001	0	0	0
14385	14385_005	0	0	0
14386	14386_002	0	0	0
14386	14386_003	0	0	0
14385	14385_006	0	0	0
14369	14369_001	0	0	0
14369	14369_002	0	0	0
14384	14384_005	0	0	0
14384	14384_006	0	0	0
14384	14384_007	0	0	0
14384	14384_008	0	0	0
14383	14383_001	0	0	0
14383	14383_002	0	0	0
14383	14383_003	0	0	0
14383	14383_004	0	0	0
14383	14383_005	0	0	0
14371	14371_005	0	0	0
14381	14381_001	34436003	Blood in urine	imatinib
14381	14381_001	22253000	Pain	imatinib
14381	14381_001	4740000	Herpes zoster	imatinib
14381	14381_002	0	0	0
14381	14381_003	4740000	Herpes zoster	imatinib
14371	14371_006	0	0	0
14371	14371_007	0	0	0
14381	14381_004	0	0	0
14378	14378_001	0	0	0
14378	14378_002	0	0	0
14371	14371_008	0	0	0
14371	14371_009	0	0	0
14371	14371_010	0	0	0
14369	14369_003	0	0	0
14369	14369_004	0	0	0
14369	14369_005	0	0	0
14370	14370_011	84229001	Fatigue	imatinib
14370	14370_011	449918009	Cramp in lower leg	imatinib
14370	14370_012	84229001	Fatigue	imatinib
14369	14369_006	0	0	0
14371	14371_011	0	0	0
14375	14375_001	274141009	Tendon contracture	
14375	14375_002	0	0	0
14370	14370_013	0	0	0
14375	14375_003	47933007	Foot pain	
14371	14371_012	0	0	0
14372	14372_001	0	0	0
14372	14372_002	0	0	0
14371	14371_013	0	0	0
14370	14370_014	0	0	0
14370	14370_015	0	0	0
14364	14364_001	0	0	0
14364	14364_002	0	0	0
14364	14364_003	0	0	0
14364	14364_004	84229001	Fatigue	imatinib
14364	14364_005	0	0	0
14360	14360_001	285303006	Racing thoughts	imatinib
14363	14363_001	0	0	0
14358	14358_001	0	0	0
14362	14362_001	0	0	0
14362	14362_002	0	0	0
14363	14363_002	0	0	0
14360	14360_002	0	0	0
14361	14361_001	0	0	0
14363	14363_003	0	0	0
14361	14361_002	0	0	0
14361	14361_003	0	0	0
14361	14361_004	0	0	0
14362	14362_003	0	0	0
14361	14361_005	0	0	0
14360	14360_003	0	0	0
14360	14360_004	0	0	0
14356	14356_001	0	0	0
14358	14358_002	0	0	0
14358	14358_003	0	0	0
14358	14358_004	0	0	0
14358	14358_005	0	0	0
14357	14357_001	0	0	0
14356	14356_002	0	0	0
14357	14357_002	422587007	Nausea	
14357	14357_002	300306001	Stomach problem	
14357	14357_002	162076009	Excessive upper gastrointestinal gas	
14356	14356_003	0	0	0
14355	14355_001	0	0	0
14355	14355_002	0	0	0
14352	14352_001	0	0	0
14354	14354_001	0	0	0
14354	14354_002	0	0	0
14354	14354_003	0	0	0
14354	14354_004	0	0	0
14352	14352_002	0	0	0
14352	14352_003	0	0	0
14353	14353_001	0	0	0
14353	14353_002	0	0	0
14353	14353_003	0	0	0
14353	14353_004	0	0	0
14352	14352_004	0	0	0
14350	14350_001	0	0	0
14351	14351_001	0	0	0
14349	14349_001	0	0	0
14349	14349_002	0	0	0
14349	14349_003	0	0	0
14349	14349_004	0	0	0
14349	14349_005	0	0	0
14346	14346_001	0	0	0
14346	14346_002	0	0	0
14346	14346_003	0	0	0
14346	14346_004	0	0	0
14324	14324_001	0	0	0
14344	14344_001	0	0	0
14336	14336_001	0	0	0
14336	14336_002	4740000	Herpes zoster	imatinib
14336	14336_003	0	0	0
14336	14336_004	0	0	0
14336	14336_005	0	0	0
14336	14336_006	0	0	0
14329	14329_001	0	0	0
14329	14329_002	0	0	0
14341	14341_001	0	0	0
14341	14341_002	0	0	0
14324	14324_002	0	0	0
14340	14340_001	0	0	0
14336	14336_007	0	0	0
14336	14336_008	0	0	0
14324	14324_003	0	0	0
14329	14329_003	0	0	0
14325	14325_001	0	0	0
14325	14325_002	0	0	0
14325	14325_003	0	0	0
14325	14325_004	0	0	0
14325	14325_005	0	0	0
14325	14325_006	0	0	0
14324	14324_004	0	0	0
14329	14329_004	0	0	0
14325	14325_007	0	0	0
14324	14324_005	0	0	0
14327	14327_001	0	0	0
14325	14325_008	0	0	0
14326	14326_001	0	0	0
14326	14326_002	0	0	0
14326	14326_003	0	0	0
14325	14325_009	0	0	0
14325	14325_010	0	0	0
14326	14326_004	0	0	0
14326	14326_005	0	0	0
14326	14326_006	0	0	0
14319	14319_001	0	0	0
14319	14319_002	0	0	0
14319	14319_003	0	0	0
14319	14319_004	22253000	Pain	imatinib
14319	14319_005	0	0	0
14319	14319_006	0	0	0
14319	14319_007	0	0	0
14319	14319_008	0	0	0
14319	14319_009	0	0	0
14319	14319_010	0	0	0
14319	14319_011	0	0	0
14319	14319_012	0	0	0
14320	14320_001	0	0	0
14320	14320_002	0	0	0
14320	14320_003	0	0	0
14320	14320_004	0	0	0
14320	14320_005	0	0	0
14320	14320_006	0	0	0
14319	14319_013	0	0	0
14319	14319_014	0	0	0
14318	14318_001	0	0	0
14318	14318_002	0	0	0
14315	14315_001	0	0	0
14312	14312_001	0	0	0
14312	14312_002	0	0	0
14312	14312_003	0	0	0
14315	14315_002	0	0	0
14315	14315_003	0	0	0
14312	14312_004	0	0	0
14312	14312_005	0	0	0
14312	14312_006	0	0	0
14312	14312_007	0	0	0
14312	14312_008	0	0	0
14312	14312_009	0	0	0
14312	14312_010	0	0	0
14304	14304_001	0	0	0
14304	14304_002	0	0	0
14304	14304_003	0	0	0
14304	14304_004	0	0	0
14303	14303_001	0	0	0
14303	14303_002	0	0	0
14307	14307_001	0	0	0
14303	14303_003	0	0	0
14304	14304_005	0	0	0
14304	14304_006	0	0	0
14305	14305_001	0	0	0
14305	14305_002	0	0	0
14304	14304_007	0	0	0
14303	14303_004	0	0	0
14303	14303_005	0	0	0
14302	14302_001	0	0	0
14301	14301_001	0	0	0
14301	14301_002	0	0	0
14302	14302_002	0	0	0
14301	14301_003	0	0	0
14300	14300_001	0	0	0
